dataset,dataset_key,model,model_display,max_f1_score,max_f1_shots,min_f1_score,min_f1_shots,avg_f1_score,f1_improvement,total_shots_tested,marker
IMDB Binary Sentiment,imdb,deepseek-r1:8b,deepseek-r1:8b,95.7129772870734,10,88.71754035576164,40,91.87409976805289,6.995436931311758,7,o
IMDB Binary Sentiment,imdb,deepseek-r1:14b,deepseek-r1:14b,97.46939932916352,20,95.82507740285968,0,96.53932734632531,1.6443219263038458,7,s
IMDB Binary Sentiment,imdb,deepseek-r1:32b,deepseek-r1:32b,97.10713118892753,40,95.11328163669364,20,96.08839590007244,1.9938495522338826,7,^
IMDB Binary Sentiment,imdb,deepseek-r1:70b,deepseek-r1:70b,98.0433312755387,20,96.88929909380994,30,97.33412693224454,1.1540321817287662,7,D
IMDB Binary Sentiment,imdb,deepseek-r1,DeepSeek-R1,99.31018280617766,5,77.95043513806023,0,95.79891362771289,21.359747668117436,7,P
Amazon 5-Level Sentiment,amazon,deepseek-r1:8b,deepseek-r1:8b,69.60972224226299,40,55.985535465818415,5,64.36408547346088,13.624186776444574,7,o
Amazon 5-Level Sentiment,amazon,deepseek-r1:14b,deepseek-r1:14b,78.49979267037051,30,61.60286187666658,5,70.41005187386135,16.89693079370393,7,s
Amazon 5-Level Sentiment,amazon,deepseek-r1:32b,deepseek-r1:32b,80.45380859332657,50,68.95134034197599,0,75.6150799008456,11.502468251350578,7,^
Amazon 5-Level Sentiment,amazon,deepseek-r1:70b,deepseek-r1:70b,73.75725692750869,30,64.06323475326752,0,69.77180286075566,9.69402217424117,7,D
Amazon 5-Level Sentiment,amazon,deepseek-r1,DeepSeek-R1,91.38766720201608,30,78.31349842292119,0,84.03022216952074,13.07416877909489,7,P
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:8b,deepseek-r1:8b,32.23885888390465,50,21.00249070526023,0,28.888948078163583,11.236368178644419,7,o
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:14b,deepseek-r1:14b,38.69330938794944,40,34.012903000059694,0,36.5348236610325,4.680406387889747,7,s
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:32b,deepseek-r1:32b,41.13581665841763,50,34.74889323966393,0,38.53440074296067,6.386923418753703,7,^
GoEmotions 27-Class Emotion,goemotions,deepseek-r1:70b,deepseek-r1:70b,44.56629790538505,10,33.97440950309676,0,41.83835456296625,10.59188840228829,7,D
GoEmotions 27-Class Emotion,goemotions,deepseek-r1,DeepSeek-R1,46.01945273906429,10,42.77381820173785,0,43.950821196541156,3.2456345373264384,7,P
